SKU|Producto|Stock|PVP|Rubro
C3608VIO|VERTEDORA OVALADA TOPF VIOLETA|38|4090|COLOMBRARO SINCRO STOCK
C3608NEG|VERTEDORA OVALADA TOPF NEGRA|35|4090|COLOMBRARO SINCRO STOCK
M060N|CONTENEDOR RESIDUOS PEDAL REFORZADO 60 LTS MASCARDI  NEGRO|35|71390|MASCARDI SINCRO PRECIOS
SETSTD25MM|CAJA X 20 PUNTAS ATORNILLADORAS SURTIDAS ALTO IMPACTO X 25MM VENTURO (PH0,PH1,PH2,PH3 / SL3,SL4,SL5 / \R\NT5,T6,T7,T8,T9,TT10,TT15,TT20,TT25,TT27,TT30,TT35,TT40)|35|9861|DISCOS ALIAFOR
PH2|PH2 X 25MM - CAJA 20 PUNTAS ATORNILLADORAS PHILLIPS ALTO IMPACTO VENTURO|34|10466|DISCOS ALIAFOR
PZ1-50MM|PZ1 X 50MM - CAJA 10 PUNTAS ATORNILLADORAS POZIDRIV ALTO IMPACTO VENTURO|31|9292|DISCOS ALIAFOR
C972MAR|CESTO RATAN RECTANGULAR MINI BAJO MARRON|30|4090|COLOMBRARO SINCRO STOCK
C326BL|ESCURRIDOR CENTRIFUGO DE VERDURAS COLOMBRARO  BLANCO|29|2232|General
BWBC1000G|WAFFLE 1035 GR CREMUCCINO|28|25967|COMPAÑIA FRIKAF
PZ2-50MM|PZ2 X 50MM - CAJA 10 PUNTAS ATORNILLADORAS POZIDRIV ALTO IMPACTO VENTURO|27|9292|DISCOS ALIAFOR
M030NX5|SILLON SILLA ANCONA MASCARDI SET X 5  NEGRO|26|205700|General
BAÑO3|SET DE ACCESORIOS JUEGO BAÑO KIT 3 PIEZAS ECONOMICO BASICO|26|14999|General
C4321NEG|SILLA NINA NEGRO|25|22730|COLOMBRARO SINCRO STOCK
C9417.|MEGACOL BOX 48 L. 64X45X25 CM.|25|46590|COLOMBRARO SINCRO STOCK
C9407TT|MEGACOL BOX BAJO 36 L. 80X44,5X16,5 CM. (COD.9407) TRANSPARENTE|25|48860|COLOMBRARO SINCRO STOCK
C560NAR|CONTENEDOR STAR P/ALIMENTOS GRANDE 7,5 L NARANJA|24|10230|COLOMBRARO SINCRO STOCK
C1422BL|PALA CON GOMA BLANCA|24|3070|COLOMBRARO SINCRO STOCK
C9680BL|CAJON APILABLE ALTO 60 X39X30 CM ENCASTRABLE BLANCO|23|46590|COLOMBRARO SINCRO STOCK
2248|TACHO CESTO RESIDUOS RECICLABLE 120 LTS RUEDAS COLOMBRARO  2248|21|9299|General
C9416.|MEGACOL BOX X 36 LTS. 49X33X33 CM.|20|35230|COLOMBRARO SINCRO STOCK
C512ROJ|CAJA HERMETICA N. 3 BAJA ROJA|18|12840|COLOMBRARO SINCRO STOCK
C955GR|CESTO RATAN 955 GRIS COLOMBRARO|18|27270|COLOMBRARO SINCRO STOCK
C508|CONTENEDOR DE ALIMENTOS 25X27X17 DE ALTO COLOMBRARO PRM  TRANSPARENTE CON TAPA DE COLOR|18|1120|General
SETVASOSMAG|SET VASOS APRIETATUERCAS VENTURO - (1/4''X65 / 8X65 / 3/8''X65 / 10X65 / 7/16''X65 / 12X65 / 13X65)|18|12015|DISCOS ALIAFOR
C650NEG|SUPER CAMPANA PORTATORTAS LUXURY NEGRO|17|19320|COLOMBRARO SINCRO STOCK
C7022BL|TAPA VAIVEN X 34 L.|16|15910|COLOMBRARO SINCRO STOCK
C9680NEG|CAJON APILABLE ALTO 60 X39X30 CM ENCASTRABLE NEGRO|16|46590|COLOMBRARO SINCRO STOCK
PH1-100MM|PH1 X 100MM - CAJA 10 PUNTAS ATORNILLADORAS PHILLIPS ALTO IMPACTO VENTURO|16|16335|DISCOS ALIAFOR
SET32P-25MM|SET 32 PUNTAS ATORNILLADORAS SURTIDAS ALTO IMPACTO X 25MM VENTURO  (PH0,PH1,PH2,PH3 / SL3,SL4,SL5,SL6.5 / H2.5,H3,H4,H5,H5.5,H6 / T5,T6,T7,T8,T9,TT10, TT15,TT20, TT25,TT27,TT30,TT35,TT40 / SP4,SP6,SP8 / COMNECTOR RÁPIDO, ADAPTADOR 1/4X25)|16|23413|DISCOS ALIAFOR
SAL1000|CAJA SAL FINA ABEDUL / DOS ANCLAS (DORSO) SOBRES X 1000 UNIDADES|16|14578|COMPAÑIA FRIKAF
T9396-9397TR-AM|TAPA PARA MALETIN 9396 Y 9397 TRANSPARENTE CON AMARILLO|15|19320|COLOMBRARO SINCRO STOCK
